key,designer,season,year,category,city,section,width,height,size,aesthetic,tags,url,filename,season_std,silhouette,silhouette_conf,length,length_conf
0560013,Dries Van Noten,Fall,2015,Ready-to-Wear,,Collection,1366,2048,460837,5.34,"['Evening Dress' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'
 'Gown' 'Robe']",https://assets.vogue.com/photos/55c650b008298d8be21478e2/DRI_0837.jpg,0560013_Dries Van Noten - Fall 2015 Ready-to-Wear [Collection].jpg,FW,oversized,0.2685443,trousers,0.27847868
0431520,Balenciaga,Spring,2020,Ready-to-Wear,,Collection,2732,4098,1040754,5.44,['Clothing' 'Apparel' 'Fashion' 'Person' 'Human' 'Coat'],https://assets.vogue.com/photos/5d90b7dade6b4500085ede31/_FIO0092.jpg,0431520_Balenciaga - Spring 2020 Ready-to-Wear [Collection].jpg,SS,oversized,0.28595242,trousers,0.2810134
1102501,Balenciaga,Fall,2020,Ready-to-Wear,,Collection,2732,4098,1500936,4.41,['Clothing' 'Apparel' 'Female' 'Person' 'Sleeve' 'Human' 'Skirt' 'Woman'],https://assets.vogue.com/photos/5e5b9f2a6432e400088ea400/_ALE0788.jpg,1102501_Balenciaga - Fall 2020 Ready-to-Wear [Collection].jpg,FW,fitted,0.27855775,trousers,0.26512265
0026957,Dries Van Noten,Spring,2017,Ready-to-Wear,,Collection,2000,3000,712988,4.69,['Jean Sarkozy' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/59cbaa2ae64a081da890f2c8/KIM_0209.jpg,0026957_Dries Van Noten - Spring 2017 Ready-to-Wear [Collection].jpg,SS,fitted,0.2777594,maxi,0.27297845
1129219,Gucci,Fall,2018,Ready-to-Wear,,Collection,2000,3000,626912,5.82,"['Clothing' 'Footwear' 'Apparel' 'Female' 'Person' 'Sleeve' 'Human' 'Coat'
 'Shoe']",https://assets.vogue.com/photos/5a8d81c27cea34278b667a2f/_GUC0380.jpg,1129219_Gucci - Fall 2018 Ready-to-Wear [Collection].jpg,FW,oversized,0.29196104,maxi,0.2789966
0066189,Balenciaga,Spring,2010,Ready-to-Wear,,Collection,683,1024,104172,5.44,['Clothing' 'Apparel' 'Person' 'Human' 'Pants'],https://assets.vogue.com/photos/55c651ac08298d8be2260336/00090fullscreen.jpg,0066189_Balenciaga - Spring 2010 Ready-to-Wear [Collection].jpg,SS,fitted,0.28009307,trousers,0.285097
0546461,Balenciaga,Spring,2023,Ready-to-Wear,,Collection,2732,4098,1316103,5.29,,https://assets.vogue.com/photos/6339b80bad7907616d673075/00029-balenciaga-spring-2023-ready-to-wear-credit-brand.jpg,0546461_Balenciaga - Spring 2023 Ready-to-Wear [Collection].jpg,SS,oversized,0.27604997,trousers,0.2648919
0227251,Balenciaga,Fall,2021,Ready-to-Wear,,Collection,2732,4098,788383,3.94,"['Trench Coat' 'Accessories' 'Sunglasses' 'Accessory' 'Clothing'
 'Overcoat' 'Apparel' 'Person' 'Human' 'Coat']",https://assets.vogue.com/photos/5fca4d22b8fe2b21c11e1082/00018-Balenciaga-Fall-21.jpg,0227251_Balenciaga - Fall 2021 Ready-to-Wear [Collection].jpg,FW,oversized,0.2858343,trousers,0.2496976
0613006,Gucci,Spring,2015,Ready-to-Wear,,Collection,1366,2048,233263,5.27,"['Accessories' 'Accessory' 'Clothing' 'Apparel' 'Fashion' 'Handbag'
 'Female' 'Person' 'Runway' 'Human' 'Coat' 'Bag']",https://assets.vogue.com/photos/55c651c308298d8be2279560/_ARC0235.jpg,0613006_Gucci - Spring 2015 Ready-to-Wear [Collection].jpg,SS,fitted,0.2682475,mini,0.25432903
0752389,Gucci,Spring,2019,Ready-to-Wear,,Collection,2000,3000,509372,4.91,"['Military Uniform' 'Clothing' 'Military' 'Apparel' 'Fashion' 'Person'
 'Sleeve' 'Human' 'Coat']",https://assets.vogue.com/photos/5ba94ba04b31c82d20684000/012.jpg,0752389_Gucci - Spring 2019 Ready-to-Wear [Collection].jpg,SS,fitted,0.27600044,trousers,0.26571816
0845247,Gucci,Fall,2022,Ready-to-Wear,,Collection,2732,4098,1576713,5.3,"['Evening Dress' 'Long Sleeve' 'Clothing' 'Apparel' 'Fashion' 'Person'
 'Sleeve' 'Dress' 'Human' 'Gown' 'Robe']",https://assets.vogue.com/photos/621925f9583e407b99593acd/00062-gucci-fall-22-ready-to-wear-milan-credit-gorunway.jpg,0845247_Gucci - Fall 2022 Ready-to-Wear [Collection].jpg,FW,fitted,0.2797123,maxi,0.27492446
0678462,Dries Van Noten,Spring,2020,Ready-to-Wear,,Collection,2732,4098,1604839,5.68,"['Clothing' 'Overcoat' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'
 'Coat' 'Suit']",https://assets.vogue.com/photos/5d8b704223d5910008a2597a/_ALE0546.jpg,0678462_Dries Van Noten - Spring 2020 Ready-to-Wear [Collection].jpg,SS,oversized,0.27605674,trousers,0.2565006
1157154,Balenciaga,Spring,2016,Ready-to-Wear,,Collection,2000,3000,666467,4.78,['Premiere' 'Fashion' 'Person' 'Human'],https://assets.vogue.com/photos/57f0de258a0d182b2eeeab1d/_MON0871.jpg,1157154_Balenciaga - Spring 2016 Ready-to-Wear [Collection].jpg,SS,fitted,0.27887917,trousers,0.26935893
0301333,Dries Van Noten,Fall,2010,Ready-to-Wear,,Collection,683,1024,148835,4.53,['Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Sleeve' 'Human'],https://assets.vogue.com/photos/55c651bd08298d8be2271cff/00220fullscreen.jpg,0301333_Dries Van Noten - Fall 2010 Ready-to-Wear [Collection].jpg,FW,fitted,0.2739104,trousers,0.26194724
0580256,Dries Van Noten,Fall,2018,Ready-to-Wear,,Collection,2000,3000,798073,5.15,['Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/5a96c16d0ec45c7da912b13d/KIM_0111.jpg,0580256_Dries Van Noten - Fall 2018 Ready-to-Wear [Collection].jpg,FW,oversized,0.27882808,trousers,0.25690314
1199074,Dries Van Noten,Fall,2015,Ready-to-Wear,,Collection,1366,2048,415663,5.49,"['Yumi Lambert' 'Long Sleeve' 'Clothing' 'Footwear' 'Apparel' 'Fashion'
 'Person' 'Runway' 'Sleeve' 'Human' 'Shoe']",https://assets.vogue.com/photos/55c650b008298d8be21478c6/DRI_0427.jpg,1199074_Dries Van Noten - Fall 2015 Ready-to-Wear [Collection].jpg,FW,fitted,0.26942682,trousers,0.27257347
0903516,Dries Van Noten,Spring,2015,Ready-to-Wear,,Collection,1366,2048,447163,5.45,"['Accessories' 'Sunglasses' 'Accessory' 'Clothing' 'Footwear' 'Apparel'
 'Person' 'Sleeve' 'Human' 'Shoe']",https://assets.vogue.com/photos/55c651c608298d8be227be0a/DVN_0482.jpg,0903516_Dries Van Noten - Spring 2015 Ready-to-Wear [Collection].jpg,SS,oversized,0.27338058,trousers,0.26130685
0413883,Gucci,Fall,2014,Ready-to-Wear,,Collection,1366,2048,249122,4.77,['Anna Wood' 'Clothing' 'Apparel' 'Person' 'Human' 'Fur'],https://assets.vogue.com/photos/55c6513808298d8be21daa1d/GUC_0233.1366x2048.JPG,0413883_Gucci - Fall 2014 Ready-to-Wear [Collection].jpg,FW,oversized,0.28089193,trousers,0.27165443
0959621,Gucci,Spring,2021,Ready-to-Wear,,Collection,2732,4098,962791,5.45,"['Vegetation' 'Clothing' 'Apparel' 'Pottery' 'Person' 'Shorts' 'Sleeve'
 'Human' 'Pants' 'Plant' 'Vase']",https://assets.vogue.com/photos/5fb993aae187cf34cece2712/00068-GUCCI-SS21-PF21.jpg,0959621_Gucci - Spring 2021 Ready-to-Wear [Collection].jpg,SS,oversized,0.27502137,trousers,0.2676115
1183588,Balenciaga,Spring,2012,Ready-to-Wear,,Collection,683,1024,128294,4.38,"['Accessories' 'Accessory' 'Clothing' 'Apparel' 'Female' 'Person' 'Human'
 'Coat' 'Tie']",https://assets.vogue.com/photos/55c650d008298d8be2169bd2/00180fullscreen.jpg,1183588_Balenciaga - Spring 2012 Ready-to-Wear [Collection].jpg,SS,fitted,0.27611852,trousers,0.2654128
0218258,Dries Van Noten,Fall,2016,Ready-to-Wear,,Collection,2000,3000,1075868,5.04,['High Heel' 'Clothing' 'Footwear' 'Apparel' 'Person' 'Human' 'Shoe'],https://assets.vogue.com/photos/56d6fc00050ae6403a814c79/_ARC1101.jpg,0218258_Dries Van Noten - Fall 2016 Ready-to-Wear [Collection].jpg,FW,oversized,0.27810195,maxi,0.25946385
0129738,Gucci,Spring,2011,Ready-to-Wear,,Collection,683,1024,111049,4.97,['Joan Smalls' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/55c6512808298d8be21c8d91/00410fullscreen.jpg,0129738_Gucci - Spring 2011 Ready-to-Wear [Collection].jpg,SS,a_line,0.26859668,maxi,0.264343
1016673,Gucci,Fall,2010,Ready-to-Wear,,Collection,683,1024,118136,4.69,"['Long Sleeve' 'Clothing' 'Footwear' 'Apparel' 'Fashion' 'Person' 'Runway'
 'Sleeve' 'Human' 'Shoe']",https://assets.vogue.com/photos/55c651bd08298d8be2270e80/00340fullscreen.jpg,1016673_Gucci - Fall 2010 Ready-to-Wear [Collection].jpg,FW,a_line,0.2764231,maxi,0.27328873
0188762,Dries Van Noten,Spring,2016,Ready-to-Wear,,Collection,2000,3000,865011,5.53,['Clothing' 'Apparel' 'Fashion' 'Person' 'Sleeve' 'Human'],https://assets.vogue.com/photos/57ebcd7416d1a9827647797c/KIM_0759.jpg,0188762_Dries Van Noten - Spring 2016 Ready-to-Wear [Collection].jpg,SS,fitted,0.27178705,trousers,0.27719522
1259060,Balenciaga,Fall,2019,Ready-to-Wear,,Collection,2732,4098,1814386,4.3,"['Clothing' 'Footwear' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'
 'Shoe']",https://assets.vogue.com/photos/5c7bb73e80be832d57e5837b/_ALE0146.jpg,1259060_Balenciaga - Fall 2019 Ready-to-Wear [Collection].jpg,FW,oversized,0.30147293,trousers,0.2822326
0541976,Gucci,Fall,2016,Ready-to-Wear,,Collection,2000,3000,755445,4.99,"['Evening Dress' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Sleeve' 'Human'
 'Gown' 'Robe']",https://assets.vogue.com/photos/56cdc7db05d0ebda742c6576/_GUC1275.jpg,0541976_Gucci - Fall 2016 Ready-to-Wear [Collection].jpg,FW,oversized,0.26977113,maxi,0.27943093
0816313,Dries Van Noten,Fall,2014,Ready-to-Wear,,Collection,1366,2048,581094,4.89,"['Evening Dress' 'Accessories' 'Sunglasses' 'Accessory' 'Clothing'
 'Apparel' 'Fashion' 'Person' 'Human' 'Gown']",https://assets.vogue.com/photos/55c6513a08298d8be21dd113/DRI_1009.1366x2048.JPG,0816313_Dries Van Noten - Fall 2014 Ready-to-Wear [Collection].jpg,FW,a_line,0.26688197,maxi,0.27385187
0519850,Balenciaga,Fall,2018,Ready-to-Wear,,Collection,2000,3000,610176,5.4,"['Accessories' 'Sunglasses' 'Accessory' 'Clothing' 'Footwear' 'Fashion'
 'Person' 'Runway' 'Human' 'Shoe']",https://assets.vogue.com/photos/5a9c02f0a8e2b84d5b0f24cf/_MON0651.jpg,0519850_Balenciaga - Fall 2018 Ready-to-Wear [Collection].jpg,FW,oversized,0.2821609,maxi,0.26993924
0681624,Balenciaga,Spring,2014,Ready-to-Wear,,Collection,1366,2048,400993,5.44,"['Evening Dress' 'Clothing' 'Apparel' 'Fashion' 'Female' 'Person' 'Sleeve'
 'Human' 'Gown' 'Robe']",https://assets.vogue.com/photos/55c6512408298d8be21c3cc2/_ON_0528.1366x2048.JPG,0681624_Balenciaga - Spring 2014 Ready-to-Wear [Collection].jpg,SS,a_line,0.27269125,maxi,0.2722094
0470902,Dries Van Noten,Spring,2021,Ready-to-Wear,,Collection,2732,4098,2114644,4.59,['Clothing' 'Raincoat' 'Apparel' 'Person' 'Human' 'Coat'],https://assets.vogue.com/photos/5f74470c08fdcc6598c7ba91/00048-Dries-Van-Noten-RTW-Spring-2021-credit-Viviane-Sassen.jpg,0470902_Dries Van Noten - Spring 2021 Ready-to-Wear [Collection].jpg,SS,a_line,0.25709775,maxi,0.24462517
1188825,Dries Van Noten,Spring,2017,Ready-to-Wear,,Collection,2000,3000,745154,4.99,"['Sasha Pivovarova' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Runway'
 'Human']",https://assets.vogue.com/photos/59cbae4d28959355d05caff3/KIM_0921.jpg,1188825_Dries Van Noten - Spring 2017 Ready-to-Wear [Collection].jpg,SS,a_line,0.26606682,maxi,0.26528263
0997887,Balenciaga,Spring,2013,Ready-to-Wear,,Collection,1366,2048,347510,5.61,"['Grace Mahary' 'Clothing' 'Footwear' 'Apparel' 'Person' 'Human' 'Skirt'
 'Shoe']",https://assets.vogue.com/photos/55c650f908298d8be2194eab/_ON_1291.1366x2048.JPG,0997887_Balenciaga - Spring 2013 Ready-to-Wear [Collection].jpg,SS,fitted,0.2758841,mini,0.27687585
0365964,Gucci,Fall,2016,Ready-to-Wear,,Collection,2000,3000,986199,5.68,"['Evening Dress' 'Clothing' 'Apparel' 'Fashion' 'Female' 'Person' 'Human'
 'Plant' 'Gown' 'Robe']",https://assets.vogue.com/photos/56cdc67ea20a782629c3d937/_GUC1055.jpg,0365964_Gucci - Fall 2016 Ready-to-Wear [Collection].jpg,FW,fitted,0.2639834,maxi,0.27648136
0178053,Balenciaga,Fall,2016,Ready-to-Wear,,Collection,2000,3000,807751,5.33,"['Evening Dress' 'Binx Walton' 'Clothing' 'Apparel' 'Fashion' 'Person'
 'Human' 'Gown' 'Robe']",https://assets.vogue.com/photos/56dc10f4be6733b44cb5358c/_MON0996.jpg,0178053_Balenciaga - Fall 2016 Ready-to-Wear [Collection].jpg,FW,oversized,0.2826956,maxi,0.26729572
0040237,Gucci,Fall,2018,Ready-to-Wear,,Collection,2000,3000,676407,4.75,"['Clothing' 'Overcoat' 'Apparel' 'Fashion' 'Person' 'Sleeve' 'Human'
 'Coat']",https://assets.vogue.com/photos/5a8d7eeac95be86dd46fcff2/_GUC0121.jpg,0040237_Gucci - Fall 2018 Ready-to-Wear [Collection].jpg,FW,oversized,0.28464004,trousers,0.28286126
0208922,Gucci,Fall,2012,Ready-to-Wear,,Collection,683,1024,136350,5.2,"['Evening Dress' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'
 'Gown' 'Robe']",https://assets.vogue.com/photos/55c650e408298d8be217e562/00190fullscreen.jpg,0208922_Gucci - Fall 2012 Ready-to-Wear [Collection].jpg,FW,fitted,0.28776583,maxi,0.2785794
0566967,Gucci,Spring,2023,Ready-to-Wear,,Collection,2732,4098,1946957,5.8,,https://assets.vogue.com/photos/632defe13897ed156acab179/00053-gucci-spring-2023-ready-to-wear-credit-gorunway.jpg,0566967_Gucci - Spring 2023 Ready-to-Wear [Collection].jpg,SS,oversized,0.27472967,trousers,0.28218812
1251117,Gucci,Fall,2013,Ready-to-Wear,,Collection,1366,2048,497229,5.54,['Hanne Gaby Odiele' 'Person' 'Human' 'Stage'],https://assets.vogue.com/photos/55c6510f08298d8be21ac578/_GVC0521.1366x2048.JPG,1251117_Gucci - Fall 2013 Ready-to-Wear [Collection].jpg,FW,fitted,0.27677268,maxi,0.27196133
1228772,Dries Van Noten,Fall,2020,Ready-to-Wear,,Collection,2732,4098,1496570,5.41,"['Clothing' 'Footwear' 'Apparel' 'Fashion' 'Female' 'Person' 'Runway'
 'Human' 'Shoe']",https://assets.vogue.com/photos/5e56884ebbd19d0008c68619/_FIO0552.jpg,1228772_Dries Van Noten - Fall 2020 Ready-to-Wear [Collection].jpg,FW,oversized,0.27625424,trousers,0.28105325
0655372,Dries Van Noten,Spring,2015,Ready-to-Wear,,Collection,1366,2048,141311,5.75,"['Accessories' 'Sunglasses' 'Accessory' 'Audience' 'Person' 'Crowd'
 'Human']",https://assets.vogue.com/photos/55c651c608298d8be227bef5/DVN_1101.jpg,0655372_Dries Van Noten - Spring 2015 Ready-to-Wear [Collection].jpg,SS,fitted,0.24052289,trousers,0.23467587
0187665,Dries Van Noten,Spring,2016,Ready-to-Wear,,Collection,2000,3000,952867,4.73,"['Clothing' 'Footwear' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'
 'Shoe']",https://assets.vogue.com/photos/57ebc92cb3669bd277df63a5/KIM_0267.jpg,0187665_Dries Van Noten - Spring 2016 Ready-to-Wear [Collection].jpg,SS,oversized,0.2787814,trousers,0.2580653
1037012,Dries Van Noten,Spring,2013,Ready-to-Wear,,Collection,1366,2048,407816,4.97,['Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/55c650f908298d8be219496d/NOT_0224.1366x2048.JPG,1037012_Dries Van Noten - Spring 2013 Ready-to-Wear [Collection].jpg,SS,oversized,0.27273822,trousers,0.280803
0807812,Balenciaga,Fall,2014,Ready-to-Wear,,Collection,1366,2048,272004,4.32,"['Natasha Poly' 'Long Sleeve' 'Clothing' 'Apparel' 'Fashion' 'Person'
 'Runway' 'Sleeve' 'Human']",https://assets.vogue.com/photos/55c6513a08298d8be21dd415/_ON_0690.1366x2048.JPG,0807812_Balenciaga - Fall 2014 Ready-to-Wear [Collection].jpg,FW,fitted,0.28933862,trousers,0.28132308
0814626,Balenciaga,Spring,2014,Ready-to-Wear,,Collection,1366,2048,361309,5.14,"['Jourdan Dunn' 'Long Sleeve' 'Clothing' 'Footwear' 'Overcoat' 'Apparel'
 'Person' 'Sleeve' 'Human' 'Coat' 'Shoe']",https://assets.vogue.com/photos/55c6512408298d8be21c3d9e/_ON_0974.1366x2048.JPG,0814626_Balenciaga - Spring 2014 Ready-to-Wear [Collection].jpg,SS,fitted,0.26807553,mini,0.2563819
1070542,Gucci,Spring,2022,Ready-to-Wear,,Collection,2732,4098,1008714,5.43,"['Evening Dress' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'
 'Gown' 'Robe' 'Hat']",https://assets.vogue.com/photos/618218c828e3682702504b67/Look_075.jpg,1070542_Gucci - Spring 2022 Ready-to-Wear [Collection].jpg,SS,fitted,0.275551,trousers,0.27162027
0144622,Gucci,Fall,2016,Ready-to-Wear,,Collection,2000,3000,772621,5.38,"['Accessories' 'Sunglasses' 'Accessory' 'Clothing' 'Apparel' 'Female'
 'Person' 'Sleeve' 'Dress' 'Human']",https://assets.vogue.com/photos/56cdc7099f4b2dce7480412c/_GUC1157.jpg,0144622_Gucci - Fall 2016 Ready-to-Wear [Collection].jpg,FW,fitted,0.26711655,mini,0.25313273
0933777,Gucci,Fall,2011,Ready-to-Wear,,Collection,683,1024,118520,5.51,"['Long Sleeve' 'Clothing' 'Overcoat' 'Apparel' 'Person' 'Sleeve' 'Human'
 'Stage' 'Coat' 'Hat']",https://assets.vogue.com/photos/55c651b308298d8be2268534/00280fullscreen.jpg,0933777_Gucci - Fall 2011 Ready-to-Wear [Collection].jpg,FW,fitted,0.2737244,maxi,0.2612425
0680007,Gucci,Spring,2010,Ready-to-Wear,,Collection,683,1024,144977,4.75,"['Evening Dress' 'Transportation' 'Clothing' 'Apparel' 'Fashion' 'Vehicle'
 'Person' 'Runway' 'Human' 'Gown' 'Robe']",https://assets.vogue.com/photos/55c651ab08298d8be225f0ad/00280fullscreen.jpg,0680007_Gucci - Spring 2010 Ready-to-Wear [Collection].jpg,SS,fitted,0.2662446,mini,0.25412
0519401,Gucci,Fall,2013,Ready-to-Wear,,Collection,1366,2048,398431,5.35,"['Lexi Boling' 'Accessories' 'Sunglasses' 'Accessory' 'Clothing'
 'Overcoat' 'Apparel' 'Person' 'Human' 'Coat']",https://assets.vogue.com/photos/55c6510f08298d8be21ac56c/_GVC0373.1366x2048.JPG,0519401_Gucci - Fall 2013 Ready-to-Wear [Collection].jpg,FW,fitted,0.27754062,trousers,0.26572597
1169213,Dries Van Noten,Fall,2021,Ready-to-Wear,,Collection,2732,4098,505204,3.73,"['Leisure Activities' 'Dance Pose' 'Performer' 'Flamenco' 'Person' 'Dance'
 'Human']",https://assets.vogue.com/photos/603ecebf6278f586c752e74a/00058-Dries-Van-Noten-Fall-21-credit-Casper-Sejersen.jpg,1169213_Dries Van Noten - Fall 2021 Ready-to-Wear [Collection].jpg,FW,a_line,0.21795961,maxi,0.21738827
0084165,Balenciaga,Fall,2022,Ready-to-Wear,,Collection,2732,4098,1179807,4.86,"['Blizzard' 'Outdoors' 'Weather' 'Nature' 'Person' 'Winter' 'Human'
 'Storm' 'Snow']",https://assets.vogue.com/photos/6224f86fdb95408b78d2fa96/00017-balenciaga-fall-2022-ready-to-wear-paris-credit-brand.jpg,0084165_Balenciaga - Fall 2022 Ready-to-Wear [Collection].jpg,FW,fitted,0.28021842,maxi,0.27057606
1226682,Dries Van Noten,Spring,2009,Ready-to-Wear,,Collection,683,1024,107448,4.98,['Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/55c6519b08298d8be224aeaf/00390fullscreen.jpg,1226682_Dries Van Noten - Spring 2009 Ready-to-Wear [Collection].jpg,SS,oversized,0.2677736,trousers,0.27849865
0762024,Balenciaga,Spring,2016,Ready-to-Wear,,Collection,2000,3000,522552,4.98,"['Evening Dress' 'Clothing' 'Footwear' 'Apparel' 'Fashion' 'Person'
 'Runway' 'Human' 'Gown' 'Robe' 'Shoe']",https://assets.vogue.com/photos/57f0dd6b8cd3f4294df17d9b/_MON0723.jpg,0762024_Balenciaga - Spring 2016 Ready-to-Wear [Collection].jpg,SS,oversized,0.27646908,maxi,0.28205693
0579269,Balenciaga,Spring,2010,Ready-to-Wear,,Collection,683,1024,135692,4.81,"['Hanne Gaby Odiele' 'Clothing' 'Apparel' 'Female' 'Person' 'Human'
 'Skirt' 'Woman']",https://assets.vogue.com/photos/55c651ac08298d8be226034d/00320fullscreen.jpg,0579269_Balenciaga - Spring 2010 Ready-to-Wear [Collection].jpg,SS,fitted,0.27854726,mini,0.27713183
1084407,Gucci,Fall,2019,Ready-to-Wear,,Collection,2732,4098,2077818,4.6,"['Long Sleeve' 'Clothing' 'Footwear' 'Apparel' 'Person' 'Sleeve' 'Human'
 'Shoe']",https://assets.vogue.com/photos/5c6d73141e848b2d3ad87443/_FIO1098.jpg,1084407_Gucci - Fall 2019 Ready-to-Wear [Collection].jpg,FW,oversized,0.28620347,maxi,0.29731178
